srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR37217352	SRX32153252	SRS28084940	SRP676787	PRJNA1423018	Lacticaseibacillus paracasei	ATABAY-TRLp01	OXFORD_NANOPORE	MinION	209741019.0	55779.0	WGS	GENOMIC	SINGLE	Whole genome sequencing of Lacticaseibacillus paracasei ATABAY-TRLp01
SRR37216114	SRX32152046	SRS28083732	SRP676757	PRJNA1423039	Lacticaseibacillus paracasei	ATABAY-TRLp02	OXFORD_NANOPORE	MinION	465775745.0	145384.0	WGS	GENOMIC	SINGLE	Whole genome sequencing of Lacticaseibacillus paracasei ATABAY-TRLp02
SRR37212159	SRX32148220	SRS28080208	SRP676645	PRJNA1422863	Escherichia coli	DH5alpha	OXFORD_NANOPORE	MinION	6107111.0	2150.0	WGS	GENOMIC	SINGLE	Raw whole-plasmid sequencing reads of cyto-Hyper7-T7-BspQI
SRR37212160	SRX32148219	SRS28080207	SRP676645	PRJNA1422863	Escherichia coli	DH5alpha	OXFORD_NANOPORE	MinION	10151893.0	3801.0	WGS	GENOMIC	SINGLE	Raw whole-plasmid sequencing reads of mtHyper7-T7-BspQI
SRR37212161	SRX32148218	SRS28080206	SRP676645	PRJNA1422863	Escherichia coli	DH5alpha	OXFORD_NANOPORE	MinION	14735553.0	5073.0	WGS	GENOMIC	SINGLE	Raw whole-plasmid sequencing reads of mtiATP-T7-BspQI
SRR37212162	SRX32148217	SRS28080205	SRP676645	PRJNA1422863	Escherichia coli	DH5alpha	OXFORD_NANOPORE	MinION	11810252.0	4924.0	WGS	GENOMIC	SINGLE	Raw whole-plasmid sequencing reads of mtKeima-T7-BspQI
SRR37212163	SRX32148216	SRS28080204	SRP676645	PRJNA1422863	Escherichia coli	DH5alpha	OXFORD_NANOPORE	MinION	11495400.0	4495.0	WGS	GENOMIC	SINGLE	Raw whole-plasmid sequencing reads of Golgi-TagBFP-T7-BspQI
SRR37212164	SRX32148215	SRS28080203	SRP676645	PRJNA1422863	Escherichia coli	DH5alpha	OXFORD_NANOPORE	MinION	6514560.0	2708.0	WGS	GENOMIC	SINGLE	Raw whole-plasmid sequencing reads of mCherry-mito-7-T7-BspQI
SRR37212165	SRX32148214	SRS28080202	SRP676645	PRJNA1422863	Escherichia coli	DH5alpha	OXFORD_NANOPORE	MinION	5335926.0	2042.0	WGS	GENOMIC	SINGLE	Raw whole-plasmid sequencing reads of ERmoxGFP-T7-BspQI
SRR37211497	SRX32147551	SRS28079566	SRP676630	PRJNA1043391	Streptomyces sp. KHY 26	KHY 26	OXFORD_NANOPORE	GridION	4892954768.0	318901.0	WGS	GENOMIC	SINGLE	WGS (Oxford Nanopore, single-end) of Streptomyces sp. : isolate KHY 26, genomic DNA
SRR37196604	SRX32133833	SRS28066450	SRP676278	PRJNA547625	Pseudomonas aeruginosa	PA-NM-086	OXFORD_NANOPORE	MinION	1539395841.0	102761.0	WGS	GENOMIC	SINGLE	WGS of Pseudomonas aeruginosa PA-NM-086 long reads
SRR37184038	SRX32121819	SRS28054779	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005663	OXFORD_NANOPORE	MinION	637893145.0	66490.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184039	SRX32121818	SRS28054778	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005640	OXFORD_NANOPORE	MinION	793275848.0	89663.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184040	SRX32121817	SRS28054777	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005619	OXFORD_NANOPORE	MinION	676720567.0	79374.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184041	SRX32121816	SRS28054776	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005581	OXFORD_NANOPORE	MinION	655532563.0	76806.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184044	SRX32121813	SRS28054773	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005560	OXFORD_NANOPORE	MinION	511590946.0	63787.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184055	SRX32121802	SRS28054762	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005497	OXFORD_NANOPORE	MinION	473057960.0	61486.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184064	SRX32121793	SRS28054753	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005460	OXFORD_NANOPORE	MinION	374606465.0	45567.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184065	SRX32121792	SRS28054752	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005406	OXFORD_NANOPORE	MinION	707344489.0	97719.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184066	SRX32121791	SRS28054750	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2023005445	OXFORD_NANOPORE	MinION	591469891.0	82001.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184067	SRX32121790	SRS28054751	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005393	OXFORD_NANOPORE	MinION	745556547.0	74711.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184068	SRX32121789	SRS28054749	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005307	OXFORD_NANOPORE	MinION	505161350.0	58035.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
SRR37184069	SRX32121788	SRS28054748	SRP676055	PRJNA1405938	Klebsiella pneumoniae	2024005304	OXFORD_NANOPORE	MinION	491659119.0	55917.0	WGS	GENOMIC	SINGLE	Hypervirulence-associated genes in Klebsiella pneumoniae
