srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR37198692	SRX32135528	SRS28068076	SRP676353	PRJNA1417596	Rhodococcus aetherivorans	m3-23	PACBIO_SMRT	Sequel IIe	305685369	22090	WGS	GENOMIC	SINGLE	Long read sequencing of Rhodococcus aetherivorans m3-23
SRR37163259	SRX32103020	SRS28036666	SRP605695	PRJNA1299619	Modicisalibacter xianhensis	HN-1-3-2	PACBIO_SMRT	Sequel II	407824214	49723	WGS	GENOMIC	SINGLE	HN-1-3-2 long read
SRR37136209	SRX32078212	SRS28013657	SRP675042	PRJNA1171741	Bacillus amyloliquefaciens	YN-J3	PACBIO_SMRT	Sequel IIe	3484386738	277451	WGS	GENOMIC	SINGLE	PacBio sequencing of Bacillus amyloliquefaciens Ba. YN. J3
DRR905085	DRX882869	DRS651941	DRP017058	PRJDB35689	Ktedonobacterales bacterium Z4_9	Z4_9	PACBIO_SMRT	Revio	249381047	32458	WGS	GENOMIC	SINGLE	Revio sequencing of SAMD01789997
DRR905084	DRX882868	DRS651940	DRP017058	PRJDB35689	Dictyobacter sp. Z7_2	Z7_2	PACBIO_SMRT	Revio	248329452	32439	WGS	GENOMIC	SINGLE	Revio sequencing of SAMD01789996
SRR37106155	SRX32052322	SRS27989733	SRP674509	PRJNA1395651	Escherichia coli	GPEC1068	PACBIO_SMRT	Sequel II	675900096	74932	WGS	GENOMIC	SINGLE	WGS APEC1068
SRR37102299	SRX32048556	SRS27985987	SRP674509	PRJNA1395651	Escherichia coli	GPEC1042	PACBIO_SMRT	Sequel II	267690423	26574	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102300	SRX32048555	SRS27985986	SRP674509	PRJNA1395651	Escherichia coli	GPEC1031	PACBIO_SMRT	Sequel II	861380343	96687	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102301	SRX32048554	SRS27985985	SRP674509	PRJNA1395651	Escherichia coli	GPEC874	PACBIO_SMRT	Sequel II	259392456	26923	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102302	SRX32048553	SRS27985984	SRP674509	PRJNA1395651	Escherichia coli	GPEC755	PACBIO_SMRT	Sequel II	382339628	37188	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102306	SRX32048552	SRS27985983	SRP674509	PRJNA1395651	Escherichia coli	GPEC709	PACBIO_SMRT	Sequel II	275498001	31327	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102303	SRX32048551	SRS27985982	SRP674509	PRJNA1395651	Escherichia coli	GPEC617	PACBIO_SMRT	Sequel II	318521976	36504	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102304	SRX32048550	SRS27985981	SRP674509	PRJNA1395651	Escherichia coli	GPEC548	PACBIO_SMRT	Sequel II	299485364	34151	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102305	SRX32048549	SRS27985980	SRP674509	PRJNA1395651	Escherichia coli	GPEC172	PACBIO_SMRT	Sequel II	799032942	82420	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102307	SRX32048548	SRS27985979	SRP674509	PRJNA1395651	Escherichia coli	GPEC1446	PACBIO_SMRT	Sequel II	341244438	36224	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102308	SRX32048547	SRS27985978	SRP674509	PRJNA1395651	Escherichia coli	GPEC1354	PACBIO_SMRT	Sequel II	408111018	40504	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102309	SRX32048546	SRS27985978	SRP674509	PRJNA1395651	Escherichia coli	GPEC1354	PACBIO_SMRT	Sequel II	399991488	44157	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102310	SRX32048545	SRS27985977	SRP674509	PRJNA1395651	Escherichia coli	GPEC1352	PACBIO_SMRT	Sequel II	276025900	28730	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102314	SRX32048544	SRS27985976	SRP674509	PRJNA1395651	Escherichia coli	GPEC1292	PACBIO_SMRT	Sequel II	398755493	41201	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102311	SRX32048543	SRS27985975	SRP674509	PRJNA1395651	Escherichia coli	GPEC1258	PACBIO_SMRT	Sequel II	507931891	52296	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102312	SRX32048542	SRS27985974	SRP674509	PRJNA1395651	Escherichia coli	GPEC1240	PACBIO_SMRT	Sequel II	656240798	72428	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102313	SRX32048541	SRS27985973	SRP674509	PRJNA1395651	Escherichia coli	GPEC1201	PACBIO_SMRT	Sequel II	280706180	28647	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102315	SRX32048540	SRS27985972	SRP674509	PRJNA1395651	Escherichia coli	GPEC1189	PACBIO_SMRT	Sequel II	279370373	30791	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102316	SRX32048539	SRS27985971	SRP674509	PRJNA1395651	Escherichia coli	GPEC1165	PACBIO_SMRT	Sequel II	277902873	28500	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102317	SRX32048538	SRS27985970	SRP674509	PRJNA1395651	Escherichia coli	GPEC102	PACBIO_SMRT	Sequel II	1357716293	140532	WGS	GENOMIC	SINGLE	WGS of APEC from GA
SRR37102318	SRX32048537	SRS27985969	SRP674509	PRJNA1395651	Escherichia coli	GPEC36	PACBIO_SMRT	Sequel II	950722851	91750	WGS	GENOMIC	SINGLE	WGS of APEC from GA
DRR462667	DRX446926	DRS650060	DRP017049	PRJDB13158	Azotobacter tropicalis	OH-2020	PACBIO_SMRT	PacBio RS II	1271493308	143977	WGS	GENOMIC	SINGLE	PacBio RS II sequencing of SAMD00553002
SRR37072457	SRX32018833	SRS26854155	SRP632826	PRJNA1335940	Roseomonas sp. WA12	WA12	PACBIO_SMRT	Sequel IIe	611914677	53039	WGS	GENOMIC	SINGLE	Complete genome sequence of Roseomonas sp. WA12 isolated from the rhizosphere of Artemisia ordosica
DRR902766	DRX880551	DRS650027	DRP017042	PRJDB40238	Staphylococcus capitis	13-29	PACBIO_SMRT	PacBio RS II	3502708964	163482	WGS	GENOMIC	SINGLE	PacBio RS II sequencing of SAMD01814116
DRR902767	DRX880552	DRS650028	DRP017043	PRJDB40243	Staphylococcus epidermidis	33-2	PACBIO_SMRT	PacBio RS II	3812261045	163482	WGS	GENOMIC	SINGLE	PacBio RS II sequencing of SAMD01815340
SRR36804894	SRX31791011	SRS26913153	SRP637065	PRJNA1264549	Paenarthrobacter nicotinovorans	FJ15	PACBIO_SMRT	Revio	2385168807	144114	WGS	GENOMIC	SINGLE	PacBio Library of Paenarthrobacter nicotinovorans FJ15
SRR36223761	SRX31259811	SRS27017809	SRP642991	PRJNA695104	Pseudomonas sp. AF1	AF1	PACBIO_SMRT	Revio	902438164	4645569	WGS	GENOMIC	PAIRED	Whole-genome sequencing of Enterobacter cloacae I4
SRR35986575	SRX31035865	SRS27025772	SRP643617	PRJNA816151	Enterobacter sp. I4	I4	PACBIO_SMRT	Revio	65914697	9614	WGS	GENOMIC	SINGLE	Whole-genome sequencing of Enterobacter cloacae I4
SRR36990770	SRX31940601	SRS27886939	SRP567135	PRJNA1230211	Leuconostoc mesenteroides	Leuconostoc mesenteroides CIM 3004	PACBIO_SMRT	Revio	1319805000	4399350	WGS	GENOMIC	PAIRED	Leuconostoc mesenteroides CIM 3004 strain
DRR900855	DRX878676	DRS648449	DRP016993	PRJDB16722	Acinetobacter baumannii	ATCC_19606_MD_Wt	PACBIO_SMRT	Sequel II	859684718	592471	WGS	GENOMIC	SINGLE	Sequel II sequencing of SAMD01797831
DRR900854	DRX878675	DRS648448	DRP016993	PRJDB16722	Acinetobacter baumannii	ATCC_19606_MD_S-6	PACBIO_SMRT	Sequel II	883705382	612537	WGS	GENOMIC	SINGLE	Sequel II sequencing of SAMD01797830
DRR900853	DRX878674	DRS648447	DRP016993	PRJDB16722	Acinetobacter baumannii	ATCC_19606_MD_S-5	PACBIO_SMRT	Sequel II	905153909	627689	WGS	GENOMIC	SINGLE	Sequel II sequencing of SAMD01797829
DRR900852	DRX878673	DRS648446	DRP016993	PRJDB16722	Acinetobacter baumannii	ATCC_19606_MD_S-4	PACBIO_SMRT	Sequel II	735041381	511623	WGS	GENOMIC	SINGLE	Sequel II sequencing of SAMD01797828
DRR900851	DRX878672	DRS648445	DRP016993	PRJDB16722	Acinetobacter baumannii	ATCC_19606_MD_S-3	PACBIO_SMRT	Sequel II	1038328721	714686	WGS	GENOMIC	SINGLE	Sequel II sequencing of SAMD01797827
DRR900850	DRX878671	DRS648444	DRP016993	PRJDB16722	Acinetobacter baumannii	ATCC_19606_MD_S-2	PACBIO_SMRT	Sequel II	698244316	503543	WGS	GENOMIC	SINGLE	Sequel II sequencing of SAMD01797826
DRR900849	DRX878670	DRS648443	DRP016993	PRJDB16722	Acinetobacter baumannii	ATCC_19606_MD_S-1	PACBIO_SMRT	Sequel II	877202746	607627	WGS	GENOMIC	SINGLE	Sequel II sequencing of SAMD01797825
SRR36804961	SRX31791074	SRS26514708	SRP620350	PRJNA1313450	Rhodococcus qingshengii	FJ5	PACBIO_SMRT	Revio	2142237803	147977	WGS	GENOMIC	SINGLE	PacBio Library of Rhodococcus qingshengii  FJ5
SRR36930821	SRX31897143	SRS27849301	SRP665485	PRJNA1406442	Enterobacter mori	GZ-49	PACBIO_SMRT	Sequel IIe	69642686	11330	WGS	GENOMIC	SINGLE	PacBio sequencing of GZ-49
SRR36909892	SRX31880213	SRS27835269	SRP665143	PRJNA1406125	Flavobacterium omnivorum	1.2747	PACBIO_SMRT	PacBio RS	503513224	54494	WGS	GENOMIC	SINGLE	WGS of Flavobacterium omnivorum 1.2747
ERR16097497	ERX15487272	ERS26050525	ERP178906	PRJEB96157	Klebsiella pneumoniae		PACBIO_SMRT	Sequel IIe	91875915	9363	WGS	GENOMIC	SINGLE	Sequel IIe sequencing
ERR16086370	ERX15476158	ERS26050528	ERP178906	PRJEB96157	Klebsiella pneumoniae		PACBIO_SMRT	Sequel IIe	79135869	6196	WGS	GENOMIC	SINGLE	Sequel IIe sequencing
ERR16097487	ERX15487262	ERS26050528	ERP178906	PRJEB96157	Klebsiella pneumoniae		PACBIO_SMRT	Sequel IIe	79135869	6196	WGS	GENOMIC	SINGLE	Sequel IIe sequencing
ERR16086379	ERX15476167	ERS26050525	ERP178906	PRJEB96157	Klebsiella pneumoniae		PACBIO_SMRT	Sequel IIe	91875915	9363	WGS	GENOMIC	SINGLE	Sequel IIe sequencing
