srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
ERR3518914	ERX3538261	ERS3741856	ERP117152	PRJEB34275	Escherichia ruysiae		OXFORD_NANOPORE	MinION	216775546.0	24944.0	WGS	GENOMIC	SINGLE	MinION sequencing
SRR12280432	SRX8784284	SRS7053054	SRP272861	PRJNA646575	Bacteroides caccae		OXFORD_NANOPORE	GridION	1456966296.0	161679.0	WGS	GENOMIC	SINGLE	WGS  of Bacteroides fragilis group clinical isolates
ERR15726446	ERX15131574	ERS27074455	ERP171481	PRJEB88388	Thermomonas sp. R-93398	R-93398	OXFORD_NANOPORE	MinION	535095609.0	252503.0	WGS	GENOMIC	SINGLE	Raw reads: Thermomonas sp. R-93398
ERR15465381	ERX14869276	ERS15928869	ERP179079	PRJEB96336	Klebsiella pneumoniae	GR13260	OXFORD_NANOPORE	GridION	871987511.0	242370.0	WGS	GENOMIC	SINGLE	GridION sequencing
ERR15941399	ERX15336944	ERS27416715	ERP185476	PRJEB104171	Escherichia coli		OXFORD_NANOPORE	MinION	74734556.0	21301.0	WGS	GENOMIC	SINGLE	MinION sequencing
SRR9901952	SRX6653777	SRS420749	SRP022868	PRJNA201967	Enterobacter sp. MGH 6	MGH 6	OXFORD_NANOPORE	GridION	241883921.0	44626.0	WGS	GENOMIC	SINGLE	Sequencing of Carbapenem resistant bacteria
SRR29816418	SRX25315673	SRS16968724	SRP426074	PRJNA941188	Bacillus subtilis	PRO84	OXFORD_NANOPORE	GridION	7291728.0	1087.0	WGS	GENOMIC	SINGLE	WGS of Bacillus subtilis: cell culture
SRR15989104	SRX12277763	SRS9999044	SRP357534	PRJNA801415	Klebsiella pneumoniae	231	OXFORD_NANOPORE	GridION	2435498046.0	388271.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR3750615	SRX1904181	SRS1546179	SRP078085	PRJNA246204	Methylomarinum vadi	IT-4	PACBIO_SMRT	PacBio RS	373816546.0	128968.0	WGS	GENOMIC	SINGLE	Methylomarinum vadi IT-4
SRR25467033	SRX21199892	SRS18458348	SRP452337	PRJNA1000618	Escherichia coli	Escherichia coli BL21(DE3)	OXFORD_NANOPORE	MinION	6306766.0	3999.0	WGS	GENOMIC	SINGLE	CASTVK transposition with different condition
ERR8187219	ERX7750093	ERS10222676	ERP135060	PRJEB50484	Staphylococcus aureus		OXFORD_NANOPORE	MinION	149527534.0	30747.0	WGS	GENOMIC	SINGLE	MinION sequencing
SRR19843359	SRX15887029	SRS12114954	SRP361569	PRJNA768416	Bacillus sp. FSL K6-0250	FSL K6-0250	OXFORD_NANOPORE	MinION	356569488.0	74136.0	WGS	GENOMIC	SINGLE	WGS of Bacilli
ERR14125755	ERX13528412	ERS22899862	ERP159032	PRJEB74343	Escherichia coli		OXFORD_NANOPORE	PromethION			WGS	GENOMIC	SINGLE	Escherichia_coli-dcm-dam
SRR22784823	SRX18744621	SRS16179765	SRP413484	PRJNA912639	Escherichia coli	EC_E4L_1_E_CuP_CeP	OXFORD_NANOPORE	MinION	143382884.0	19585.0	WGS	GENOMIC	SINGLE	WGS of Escherichia coli
DRR609187	DRX589734	DRS419928	DRP007810	PRJDB11927	Escherichia coli	EC332	OXFORD_NANOPORE	MinION	579372618.0	64934.0	WGS	GENOMIC	SINGLE	MinION sequencing of SAMD00819697
SRR33738982	SRX28962818	SRS24387100	SRP074197	PRJNA288601	Escherichia coli		OXFORD_NANOPORE	GridION	986724650.0	92564.0	WGS	GENOMIC	SINGLE	Nanopore sequencing of ARLN isolate
SRR35216695	SRX30320507	SRS26367182	SRP616167	PRJNA893719	Pseudomonas reinekei	MT1_4	PACBIO_SMRT	Sequel IIe	1817457766.0	222258.0	WGS	GENOMIC	SINGLE	Pseudomonas reinekei MT1_4
SRR31596175	SRX26960999	SRS19171049	SRP466608	PRJNA1028169	Escherichia coli	wildtype	OXFORD_NANOPORE	MinION	400865691.0	145218.0	WGS	GENOMIC	SINGLE	Mixture of Escherichia coli synthetic controls (ratio=1:4) (TaxID: 562)
DRR582011	DRX562564	DRS640954	DRP016847	PRJDB17425	Pantoea sp. X-Soil-YNGN-775	X-Soil-YNGN-775	PACBIO_SMRT	Sequel II	652409881.0	77559.0	WGS	GENOMIC	SINGLE	Soil-X12-775
ERR16064641	ERX15454823	ERS28397776	ERP173262	PRJEB90249	Staphylococcus aureus		OXFORD_NANOPORE	GridION	1084973076.0	505344.0	WGS	GENOMIC	SINGLE	GridION sequencing
SRR12978882	SRX9430743	SRS584986	SRP309103	PRJNA658106	Priestia megaterium NBRC 15308 = ATCC 14581	ATCC 14581	OXFORD_NANOPORE	MinION	1467312720.0	258959.0	WGS	GENOMIC	SINGLE	Bacillus megaterium de Bary
SRR5886915	SRX1757517	SRS1433940	SRP105291	PRJNA321324	Streptococcus pneumoniae ST556	ST556	PACBIO_SMRT	PacBio RS II	243648814.0	163482.0	WGS	GENOMIC	SINGLE	ST556_2
ERR10155842	ERX9691962	ERS6426098	ERP109413	PRJEB27342	Klebsiella pneumoniae		PACBIO_SMRT	Sequel II	7489698438.0	1235553.0	WGS	GENOMIC	SINGLE	Sequel II sequencing
SRR31235438	SRX26615395	SRS23113918	SRP543347	PRJNA1182389	Escherichia coli	NEB 10-beta	OXFORD_NANOPORE	MinION	5126007.0	2312.0	WGS	GENOMIC	SINGLE	Long Read Sequencing of synthetic plasmid
SRR16089747	SRX12376185	SRS10347050	SRP151364	PRJNA477706	Moraxella bovis	SAM109237	PACBIO_SMRT	Sequel	797405732.0	114864.0	WGS	GENOMIC	SINGLE	Sequencing Moraxella genomes
SRR926336	SRX314707	SRS452288	SRP012356	PRJNA159279	Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189	CFSAN000189	PACBIO_SMRT	PacBio RS	285200976.0	81741.0	WGS	GENOMIC	SINGLE	Whole genome shotgun sequencing of Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000189 by Pacific Biosciences SMRT
SRR25446746	SRX21179985	SRS18440556	SRP278968	PRJNA659624	Mycobacterium tuberculosis	Mycobacterium	OXFORD_NANOPORE	MinION	248489903.0	85840.0	WGS	GENOMIC	SINGLE	ONT-WGS of Mycobacterium tuberculosis:  ante-mortem male Sputum
SRR7508524	SRX4378972	SRS3535364	SRP153035	PRJNA433211	Pseudomonas chlororaphis subsp. aureofaciens	ChPhzTR18	PACBIO_SMRT	PacBio RS II	3300731253.0	163482.0	WGS	GENOMIC	SINGLE	Whole genome sequence of Pseudomonas chlororaphis subsp. aureofaciens ChPhzTR18
ERR15402412	ERX14806053	ERS25299876	ERP176862	PRJEB93985	Neobacillus sp.		PACBIO_SMRT	Sequel II	2015084314.0	403310.0	WGS	GENOMIC	SINGLE	Sequel II sequencing
ERR5902797	ERX5542892	ERS5649955	ERP126298	PRJEB42440	Klebsiella pneumoniae		OXFORD_NANOPORE	MinION	741558161.0	67359.0	WGS	GENOMIC	SINGLE	MinION sequencing
ERR10498098	ERX10015387	ERS14254312	ERP142629	PRJEB57633	Escherichia coli		OXFORD_NANOPORE	GridION	112836550.0	21178.0	WGS	GENOMIC	SINGLE	Raw reads: ONT_30348_2#163
SRR7591531	SRX4456751	SRS3594805	SRP155204	PRJNA177174	Arcobacter suis CECT 7833	CECT 7833	PACBIO_SMRT	PacBio RS II	733333617.0	163482.0	WGS	GENOMIC	SINGLE	Whole genome sequencing of Arcobacter suis strain LMG 26152
SRR13380322	SRX9803248	SRS7987532	SRP300808	PRJNA649533	Salmonella enterica		OXFORD_NANOPORE	GridION	638185810.0	148372.0	WGS	GENOMIC	SINGLE	ISF salmonella
SRR34973509	SRX30093072	SRS26157958	SRP608514	PRJNA1305037	Raoultella ornithinolytica	MI_KPC_936	OXFORD_NANOPORE	PromethION	95482120.0	14076.0	WGS	GENOMIC	SINGLE	KPC CRE collection from state of Michigan
DRR346622	DRX335507	DRS228319	DRP008189	PRJDB12526	Thermus brockianus	SNM4-1	OXFORD_NANOPORE	GridION	3050259218.0	1088755.0	WGS	GENOMIC	SINGLE	GridION sequencing of SAMD00442900
DRR572489	DRX555956	DRS426410	DRP012251	PRJDB17574	Escherichia coli	YK-IS1MA-L11-3_G08	OXFORD_NANOPORE	MinION	3180601.0	4800.0	WGS	GENOMIC	SINGLE	nanopore-seq of SAMD00748227 L11-3_G8
SRR19357530	SRX15416271	SRS12115424	SRP361569	PRJNA768416	Bacillus sp. FSL R5-0677	FSL R5-0677	OXFORD_NANOPORE	MinION	642376721.0	190049.0	WGS	GENOMIC	SINGLE	WGS of Bacilli
SRR30207871	SRX25670913	SRS13884854	SRP071789	PRJNA315192	Shigella sonnei	1662387	OXFORD_NANOPORE	MinION	902036305.0	149556.0	WGS	GENOMIC	SINGLE	1662387
SRR27972607	SRX23625846	SRS20466055	SRP489819	PRJNA1076692	Klebsiella pneumoniae	RIVM_C059143_dorado	OXFORD_NANOPORE	MinION	172439359.0	41416.0	WGS	GENOMIC	SINGLE	RIVM_C059143_dorado
SRR31583345	SRX26948909	SRS23420371	SRP548954	PRJNA1193326	Campylobacter jejuni		OXFORD_NANOPORE	MinION	111966368.0	50195.0	WGS	GENOMIC	SINGLE	Long-read Nanopore-based WGS characterization of antimicrobial resistant Campylobacter jejuni and Campylobacter coli isolates from humans, animals and food products in Northern Spain within a One Health approach
SRR386649	SRX109830	SRS004883	SRP001079	PRJNA40077	Cereibacter sphaeroides 2.4.1	2.4.1	PACBIO_SMRT	PacBio RS	103372063.0	81741.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing and Assembly
SRR35699700	SRX30749000	SRS26764470	SRP630262	PRJNA1337102	Hydrogenophaga sp. A37	A37	OXFORD_NANOPORE	MinION	915980281.0	117693.0	WGS	GENOMIC	SINGLE	HfA37
DRR378477	DRX364378	DRS241835	DRP008598	PRJDB13586	Campylobacter jejuni	THJ047	OXFORD_NANOPORE	MinION	916185182.0	70640.0	WGS	GENOMIC	SINGLE	SSUB21860 : Campylobacter jejuni THJ047
ERR1588649	ERX1659295	ERS1188826	ERP005928	PRJEB6403	Salmonella enterica	NCTC8785	PACBIO_SMRT	PacBio RS	2131283336.0	163482.0	WGS	GENOMIC	SINGLE	PacBio RS sequencing
SRR35513799	SRX30589565	SRS26617981	SRP620300	PRJNA1328464	Escherichia coli	GPT22-004	OXFORD_NANOPORE	GridION	137283599.0	63134.0	WGS	GENOMIC	SINGLE	Escherichia coli, MMM kit, replicate 2, sequence replicate 1
SRR12934874	SRX9398635	SRS7616796	SRP040661	PRJNA231221	Morganella morganii	FDAARGOS_1085	PACBIO_SMRT	Sequel	1822523988.0	651032.0	WGS	GENOMIC	SINGLE	
ERR2195663	ERX2251686	ERS1826208	ERP005928	PRJEB6403	Campylobacter jejuni	NCTC13362	PACBIO_SMRT	PacBio RS	1184761522.0	163482.0	WGS	GENOMIC	SINGLE	PacBio RS sequencing
SRR25467211	SRX21199714	SRS18458353	SRP452337	PRJNA1000618	Escherichia coli	Escherichia coli BL21(DE3)	OXFORD_NANOPORE	MinION	7989970.0	4000.0	WGS	GENOMIC	SINGLE	CASTVK transposition with different condition
SRR33404833	SRX28646101	SRS24916723	SRP582691	PRJNA1256904	Providencia stuartii	missing	OXFORD_NANOPORE	MinION	433757024.0	64769.0	WGS	GENOMIC	SINGLE	NGS of Providencia isolate
SRR31599564	SRX26964118	SRS23433830	SRP549287	PRJNA1185485	Escherichia coli	5	OXFORD_NANOPORE	PromethION	307521714.0	59286.0	WGS	GENOMIC	SINGLE	2ndManhole-barcode05
SRR23365101	SRX19306185	SRS16705524	SRP421404	PRJNA932460	Pseudomonas chlororaphis	ATCC 17411	OXFORD_NANOPORE	GridION	907851304.0	195724.0	WGS	GENOMIC	SINGLE	WGS of Pseudomonas chlororaphis
SRR4063390	SRX2052469	SRS1644715	SRP082814	PRJNA252876	Cellulomonas sp. FA1	FA1	PACBIO_SMRT	PacBio RS	186178523.0	66313.0	WGS	GENOMIC	SINGLE	Cellulomonas sp. FA1
SRR34573113	SRX29714844	SRS25823726	SRP601637	PRJNA1292907	Mycobacterium tuberculosis	not applicable	OXFORD_NANOPORE	MinION	276238713.0	441247.0	WGS	GENOMIC	SINGLE	Whole genome sequencing
ERR10357043	ERX9889159	ERS7159810	ERP109413	PRJEB27342	Klebsiella aerogenes		PACBIO_SMRT	Sequel II	4210691544.0	673611.0	WGS	GENOMIC	SINGLE	Sequel II sequencing
SRR34973815	SRX30093027	SRS26157930	SRP608514	PRJNA1305037	Enterobacter hormaechei	MI_KPC_877	OXFORD_NANOPORE	PromethION	500004852.0	60228.0	WGS	GENOMIC	SINGLE	KPC CRE collection from state of Michigan
SRR14307876	SRX10663300	SRS8757868	SRP301498	PRJNA690640	Enterococcus faecium		OXFORD_NANOPORE	MinION	2788772.0	284.0	WGS	GENOMIC	SINGLE	WGS of E. faecium
SRR33968452	SRX29167144	SRS25367643	SRP591870	PRJNA1276484	Mycobacteroides abscessus		OXFORD_NANOPORE	MinION	1210173698.0	228142.0	WGS	GENOMIC	SINGLE	CW26196
ERR584384	ERX542392	ERS467558	ERP005355	PRJEB5919	Salmonella enterica subsp. enterica serovar Typhi		PACBIO_SMRT	PacBio RS	438265583.0	163482.0	WGS	GENOMIC	SINGLE	PacBio RS sequencing
SRR12395359	SRX8893538	SRS7152560	SRP276100	PRJNA650381	Mycobacterium tuberculosis		OXFORD_NANOPORE	MinION	943058172.0	597229.0	WGS	GENOMIC	SINGLE	Nanopore TB WGS
SRR23384623	SRX19323038	SRS16721123	SRP421698	PRJNA924056	Enterobacter hormaechei	CPO157	OXFORD_NANOPORE	MinION	54683739.0	47382.0	WGS	GENOMIC	SINGLE	WGS of bacterial isolate possessing blaIMP-4 carbapenemase
ERR10820943	ERX10266543	ERS7761470	ERP109413	PRJEB27342	Klebsiella terrigena		PACBIO_SMRT	Sequel II	6233181031.0	1395047.0	WGS	GENOMIC	SINGLE	Sequel II sequencing
SRR32638678	SRX27943201	SRS24309424	SRP262291	PRJNA510383	Mannheimia haemolytica	not applicable	OXFORD_NANOPORE	GridION	594204343.0	98186.0	WGS	GENOMIC	SINGLE	MH-Cow-OK74078CY240259
SRR389239	SRX032453	SRS140102	SRP004712	PRJNA61297	Vibrio cholerae O1 biovar El Tor		PACBIO_SMRT	PacBio RS	24749306.0	60667.0	WGS	GENOMIC	SINGLE	Sequencing for M4 (Bangladesh, 2008)
SRR11526342	SRX8097398	SRS6463947	SRP255655	PRJNA622823	Thalassovita gelatinovora	NEB572	PACBIO_SMRT	PacBio RS II	923573342.0	163482.0	WGS	GENOMIC	SINGLE	SMRTAgeBP9_50
SRR23690857	SRX19553240	SRS16937992	SRP425383	PRJNA934404	Streptococcus anginosus	VSI13	OXFORD_NANOPORE	MinION	499146005.0	63648.0	WGS	GENOMIC	SINGLE	VSI13
SRR31598801	SRX26963685	SRS23433396	SRP549287	PRJNA1185485	Escherichia coli	461	OXFORD_NANOPORE	PromethION	1048061052.0	189922.0	WGS	GENOMIC	SINGLE	R4R-barcode06
SRR35544106	SRX30618982	SRS26643849	SRP624405	PRJNA1330714	Bacillus pacificus	O-216	OXFORD_NANOPORE	PromethION	2334072329.0	243767.0	WGS	GENOMIC	SINGLE	Whole genome sequences of 20 Bacillus cereus isolated from various environments
SRR19787646	SRX15831705	SRS13522796	SRP383167	PRJNA851853	Salmonella enterica	2012K-0285_ONT	OXFORD_NANOPORE	GridION	2416007005.0	282610.0	WGS	GENOMIC	SINGLE	WGS of Salmonella enterica serovar Enteritidis
ERR11801718	ERX11200077	ERS16224822	ERP119900	PRJEB36683	Klebsiella pneumoniae 11227-1		OXFORD_NANOPORE	MinION	273483648.0	64904.0	WGS	GENOMIC	SINGLE	MinION sequencing; Raw reads: Kp09_plasmid
SRR30896197	SRX26299824	SRS22828546	SRP536878	PRJNA1134622	Escherichia coli	OXEC-197	OXFORD_NANOPORE	MinION	272323904.0	60539.0	WGS	GENOMIC	SINGLE	OXEC-197
ERR16138909	ERX15528575	ERS28447459	ERP186608	PRJEB105405	Lentilactobacillus hilgardii		OXFORD_NANOPORE	MinION			WGS	GENOMIC	SINGLE	Raw reads: MCF_B18_Nanopore
SRR25342335	SRX21081753	SRS18351204	SRP310573	PRJNA714412	Brochothrix thermosphacta		OXFORD_NANOPORE	MinION	636843729.0	249269.0	WGS	GENOMIC	SINGLE	Nanopore whole genome sequencing: Brochothrix thermosphacta
SRR9221451	SRX5991935	SRS4897074	SRP191068	PRJNA528511	Escherichia coli	GTEN_179	OXFORD_NANOPORE	GridION	550257701.0	119609.0	WGS	GENOMIC	SINGLE	Global TravEpiNet AMR surveillance Genome sequencing and assembly
SRR8776824	SRX5566946	SRS4529939	SRP189296	PRJNA528186	Staphylococcus aureus	UP_967	OXFORD_NANOPORE	MinION	516427017.0	53398.0	WGS	GENOMIC	SINGLE	UP_967_nanopore
SRR24952277	SRX20710328	SRS18002730	SRP444472	PRJNA984747	Escherichia coli	TUM9754	OXFORD_NANOPORE	MinION	1388417210.0	166789.0	WGS	GENOMIC	SINGLE	Full-length genome sequencing of Escherichia coli possessing blaCTX-M-2
SRR30949723	SRX26352365	SRS22817069	SRP536567	PRJNA1165464	Escherichia coli	Not applicable	OXFORD_NANOPORE	MinION	164609067.0	20607.0	WGS	GENOMIC	SINGLE	Nanopore sequencing of E.coli: blood isolate
SRR30008788	SRX25488076	SRS21704367	SRP074197	PRJNA288601	Acinetobacter baumannii	2024CK-00842	OXFORD_NANOPORE	GridION	211801542.0	11145.0	WGS	GENOMIC	SINGLE	Nanopore sequencing of ARLN isolate
